date,customer_id,region,product_id,feedback,sentiment,category
2026-01-05,C00001,North,P001,Packaging could be better.,neutral,customer_support
2026-01-05,C00002,North,P004,Fast setup and easy to use.,positive,product_quality
2026-01-05,C00003,South,P001,"Average experience, nothing special.",neutral,pricing
2026-01-05,C00004,East,P002,"Average experience, nothing special.",neutral,customer_support
2026-01-05,C00005,East,P002,Not as described on the listing.,negative,customer_support
2026-01-05,C00006,East,P004,Product stopped working after a week.,negative,product_quality
2026-01-06,C00007,North,P004,Really happy with the product quality.,positive,product_quality
2026-01-06,C00008,South,P002,"Works exactly as described, would buy again.",positive,product_quality
2026-01-06,C00009,East,P003,Really happy with the product quality.,positive,product_quality
2026-01-06,C00010,West,P004,Great value for the price.,positive,product_quality
2026-01-06,C00011,West,P004,Really happy with the product quality.,positive,product_quality
2026-01-07,C00012,North,P001,Great value for the price.,positive,product_quality
2026-01-07,C00013,South,P004,"Average experience, nothing special.",neutral,product_quality
2026-01-07,C00014,South,P004,Fast setup and easy to use.,positive,product_quality
2026-01-07,C00015,East,P003,"It's okay, does what it says.",neutral,packaging
2026-01-07,C00016,East,P003,Customer support was slow to respond.,negative,pricing
2026-01-08,C00017,South,P001,Great value for the price.,positive,product_quality
2026-01-08,C00018,South,P001,Really happy with the product quality.,positive,product_quality
2026-01-08,C00019,South,P001,"It's okay, does what it says.",neutral,product_quality
2026-01-08,C00020,West,P002,Really happy with the product quality.,positive,product_quality
2026-01-09,C00021,South,P002,Fast setup and easy to use.,positive,product_quality
2026-01-09,C00022,East,P001,Great value for the price.,positive,product_quality
2026-01-10,C00023,North,P001,Fast setup and easy to use.,positive,product_quality
2026-01-10,C00024,North,P001,"It's okay, does what it says.",neutral,pricing
2026-01-10,C00025,South,P003,"Average experience, nothing special.",neutral,product_quality
2026-01-10,C00026,South,P004,Really happy with the product quality.,positive,product_quality
2026-01-10,C00027,West,P003,"It's okay, does what it says.",neutral,product_quality
2026-01-11,C00028,North,P001,"It's okay, does what it says.",neutral,customer_support
2026-01-11,C00029,South,P004,Not as described on the listing.,negative,packaging
2026-01-11,C00030,South,P002,"Works exactly as described, would buy again.",positive,product_quality
2026-01-11,C00031,South,P003,Product stopped working after a week.,negative,packaging
2026-01-11,C00032,East,P004,Not as described on the listing.,negative,product_quality
2026-01-11,C00033,West,P004,Packaging could be better.,neutral,customer_support
2026-01-11,C00034,West,P004,Not as described on the listing.,negative,customer_support
2026-01-12,C00035,South,P003,Fast setup and easy to use.,positive,product_quality
2026-01-12,C00036,South,P003,Customer support was slow to respond.,negative,pricing
2026-01-12,C00037,East,P004,Great value for the price.,positive,product_quality
2026-01-12,C00038,West,P002,"Works exactly as described, would buy again.",positive,product_quality
2026-01-13,C00039,North,P003,Great value for the price.,positive,product_quality
2026-01-13,C00040,North,P002,Not as described on the listing.,negative,packaging
2026-01-13,C00041,South,P001,Product stopped working after a week.,negative,pricing
2026-01-13,C00042,South,P001,"Average experience, nothing special.",neutral,product_quality
2026-01-13,C00043,South,P002,"Average experience, nothing special.",neutral,packaging
2026-01-13,C00044,East,P001,"Works exactly as described, would buy again.",positive,product_quality
2026-01-13,C00045,East,P003,Great value for the price.,positive,product_quality
2026-01-13,C00046,East,P004,"Works exactly as described, would buy again.",positive,product_quality
2026-01-13,C00047,West,P003,Fast setup and easy to use.,positive,product_quality
2026-01-14,C00048,South,P002,"It's okay, does what it says.",neutral,pricing
2026-01-14,C00049,East,P001,Really happy with the product quality.,positive,product_quality
2026-01-14,C00050,East,P001,Not as described on the listing.,negative,customer_support
2026-01-14,C00051,West,P001,Not as described on the listing.,negative,packaging
2026-01-14,C00052,West,P002,Fast setup and easy to use.,positive,product_quality
2026-01-14,C00053,West,P001,Product stopped working after a week.,negative,packaging
